sample,timestamp,lat,lon,alt,pm25,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-05-15T10:48:22.050212,16.0757014,108.1530701,30,0.0,880.2,151.4,30.61,19.47,8,1.56,15.6
2,2026-05-15T10:48:24.052363,16.0757014,108.1530701,30,0.0,851.4,133.1,30.61,19.47,8,1.57,15.6
3,2026-05-15T10:48:26.062833,16.0757014,108.1530701,30,0.0,878.4,151.4,30.61,19.47,8,1.58,15.5
4,2026-05-15T10:48:28.067438,16.0757014,108.1530701,30,0.0,869.4,144.6,30.6,19.47,8,1.57,15.6
5,2026-05-15T10:48:30.071360,16.0757014,108.1530701,30,0.0,867.6,144.6,30.59,19.47,8,1.57,15.6
6,2026-05-15T10:48:32.082774,16.0757014,108.1530701,30,0.0,878.4,151.4,30.57,19.47,8,1.57,15.6
7,2026-05-15T10:48:34.089504,16.0757014,108.1530701,30,0.0,878.4,151.4,30.59,19.47,8,1.57,15.6
8,2026-05-15T10:48:36.093482,16.0757014,108.1530701,30,0.0,840.6,126.2,30.61,19.47,8,1.57,15.8
9,2026-05-15T10:48:38.100097,16.0757014,108.1530701,30,0.0,916.2,176.7,30.63,19.47,8,1.57,15.6
10,2026-05-15T10:48:40.105433,16.0757014,108.1530701,30,0.0,871.2,146.8,30.64,19.47,8,1.57,15.7
11,2026-05-15T10:48:42.109284,16.0757014,108.1530701,30,0.0,912.6,174.4,30.62,19.47,8,1.58,15.5
12,2026-05-15T10:48:44.112567,16.0757014,108.1530701,30,0.0,932.4,188.1,30.63,19.47,8,1.58,15.7
13,2026-05-15T10:48:46.122767,16.0757014,108.1530701,30,0.0,905.4,169.8,30.63,19.47,8,1.56,15.9
14,2026-05-15T10:48:48.127856,16.0757014,108.1530701,30,0.0,867.6,144.6,30.65,19.47,8,1.57,15.5
15,2026-05-15T10:48:50.131250,16.0757014,108.1530701,30,0.0,858.6,137.7,30.63,19.47,8,1.57,15.7
16,2026-05-15T10:48:52.136623,16.0757014,108.1530701,30,0.0,889.2,158.3,30.6,19.47,8,1.57,15.7
17,2026-05-15T10:48:54.147263,16.0757014,108.1530701,30,0.0,840.6,126.2,30.65,19.47,8,1.57,15.3
18,2026-05-15T10:48:56.149775,16.0757014,108.1530701,30,0.0,864.0,142.3,30.65,19.47,8,1.57,15.6
19,2026-05-15T10:48:58.058786,16.0757014,108.1530701,30,0.0,864.0,142.3,30.65,19.47,8,1.56,15.5
20,2026-05-15T10:49:00.066434,16.0757014,108.1530701,30,0.0,873.0,146.8,30.66,19.47,8,1.56,15.7
21,2026-05-15T10:49:02.071096,16.0757014,108.1530701,30,0.0,874.8,146.8,30.64,19.47,8,1.56,15.7
22,2026-05-15T10:49:04.073980,16.0757014,108.1530701,30,0.0,855.0,135.4,30.62,19.47,8,1.57,15.6
23,2026-05-15T10:49:06.080150,16.0757014,108.1530701,30,0.0,837.0,123.9,30.65,19.47,8,1.57,15.5
24,2026-05-15T10:49:08.084870,16.0757014,108.1530701,30,0.0,878.4,151.4,30.64,19.47,8,1.56,15.4
25,2026-05-15T10:49:10.089414,16.0757014,108.1530701,30,0.0,817.2,110.1,30.64,19.47,8,1.56,15.7
26,2026-05-15T10:49:12.094317,16.0757014,108.1530701,30,0.0,853.2,133.1,30.61,19.47,8,1.57,15.6
27,2026-05-15T10:49:14.099654,16.0757014,108.1530701,30,0.0,840.6,126.2,30.6,19.47,8,1.56,15.4
28,2026-05-15T10:49:16.106978,16.0757014,108.1530701,30,0.0,873.0,146.8,30.61,19.47,8,1.57,15.5
29,2026-05-15T10:49:18.113479,16.0757014,108.1530701,30,0.0,849.6,133.1,30.64,19.47,8,1.56,15.6
30,2026-05-15T10:49:20.118316,16.0757014,108.1530701,30,0.0,853.2,135.4,30.65,19.47,8,1.58,15.4
