sample,timestamp,lat,lon,alt,pm25,pm10,eco2,tvoc,temp,hum,aqi,co,no2
1,2026-09-24T13:04:25.679326,16.0760259,108.1560445,35.0,72.8,116.0,586.0,28.0,28.5,68.1,138,1.46,36.8
2,2026-09-24T13:04:26.725219,16.0760259,108.1560445,35.0,72.8,107.1,572.0,26.0,28.4,68.8,138,1.5,37.0
3,2026-09-24T13:04:27.772144,16.0760259,108.1560445,35.0,77.4,120.4,572.0,25.0,28.4,68.9,146,1.51,36.2
4,2026-09-24T13:04:28.831756,16.0760259,108.1560445,35.0,78.9,118.0,561.0,20.0,28.5,68.9,148,1.54,37.1
5,2026-09-24T13:04:29.876653,16.0760259,108.1560445,35.0,76.5,122.4,568.0,27.0,28.5,68.9,144,1.6,38.6
6,2026-09-24T13:04:30.922375,16.0760259,108.1560445,35.0,73.7,103.9,555.0,26.0,28.5,68.5,140,1.55,39.5
7,2026-09-24T13:04:31.968976,16.0760259,108.1560445,35.0,72.3,101.9,554.0,20.0,28.4,68.8,137,1.56,39.0
8,2026-09-24T13:04:33.013441,16.0760259,108.1560445,35.0,75.0,107.9,550.0,20.0,28.5,68.1,142,1.54,39.6
9,2026-09-24T13:04:34.059827,16.0760259,108.1560445,35.0,74.2,113.5,543.0,20.0,28.4,69.0,140,1.51,38.7
10,2026-09-24T13:04:35.103830,16.0760259,108.1560445,35.0,73.4,113.9,550.0,20.0,28.4,68.3,139,1.55,39.5
